date,MU,FU,MU_raw,FU_raw
2005-01-01,0.5184342504121432,0.15884786651754237,0.543029295357752,0.565365925202032
2005-02-01,0.11139246203211951,0.24303794381355912,0.4924470457719887,0.5722042424222373
2005-03-01,-0.27973383171842525,0.1383247414122555,0.4438425821153634,0.5636989396815596
2005-04-01,-0.38271681397851404,0.33834428997224986,0.4310450977772131,0.5799454757013124
2005-05-01,-0.4226458878624232,0.37510420887689583,0.4260831935241819,0.5829312905922424
2005-06-01,-0.2947831397410479,0.3697070045264355,0.44197243542226117,0.5824929040669402
2005-07-01,-0.3776560569015977,0.1886443878909358,0.43167398769678694,0.5677861399322486
2005-08-01,-0.4661012043897493,0.016748337387284234,0.42068309031816564,0.5538239277571563
2005-09-01,-0.5228740900233054,0.024247654621989474,0.41362804006828946,0.5544330578569607
2005-10-01,-0.4617819153424637,0.10860304095454051,0.42121983952392256,0.5612848022608378
2005-11-01,-0.5184461784986489,0.012197619713066743,0.41417828756689457,0.5534542968928624
2005-12-01,-0.34223962467449587,-0.20587660753324885,0.4360751152111836,0.5357412742736041
2006-01-01,-0.6770413896310498,-0.42996753291546735,0.39446998541803435,0.5175395469067915
2006-02-01,-0.6151841819539378,-0.6420505500641734,0.4021568539576372,0.5003131587757793
2006-03-01,-0.627130370720828,-0.8101679132565159,0.4006723255405172,0.4866578694987364
2006-04-01,-0.596298165599325,-0.7729286415937803,0.4045037805391358,0.48968261969327315
2006-05-01,-0.5492289083653965,-0.26871837074690225,0.41035298075687915,0.5306369683347815
2006-06-01,-0.5547766176350658,-0.1335957730327647,0.4096635782853922,0.5416122663326511
2006-07-01,-0.681794901477545,-0.317922764226125,0.39387927623413155,0.526640354220084
2006-08-01,-0.7400943075828359,-0.2603065216237245,0.38663452841092666,0.5313202186008495
2006-09-01,-0.6350509572361942,-0.4207926475242059,0.3996880504723961,0.5182847745960817
2006-10-01,-0.8253213722895643,-0.5725419135021599,0.37604353559022663,0.50595897977537
2006-11-01,-0.6493514643699871,-0.6343613802350437,0.3979109557325087,0.5009377096033875
2006-12-01,-0.8306315574053553,-0.6227742946658776,0.37538364975898914,0.5018788676272841
2007-01-01,-0.8239367263457742,-0.6967413368112245,0.37621560270646903,0.49587091378906956
2007-02-01,-0.7762400625913906,-0.7694715046684126,0.38214276944783565,0.4899634247445172
2007-03-01,-0.40184051472162097,-0.7214203854670832,0.42866863464343735,0.493866364454731
2007-04-01,-0.578638754712369,-0.6225908922386212,0.4066982793707585,0.5018937644419303
2007-05-01,-0.6747570280447142,-0.43279911484381134,0.39475385835492377,0.5173095523981401
2007-06-01,-0.8365043596737426,-0.5028578553591693,0.3746538486462099,0.5116190493474352
2007-07-01,-1.0381920411789514,-0.5154412924197405,0.34959053343999386,0.510596962931739
2007-08-01,-0.8715544534033415,-0.6271962544815548,0.3702982452667855,0.5015196950866974
2007-09-01,-1.0194835473002017,-0.7596029668937119,0.35191539966691093,0.4907649941689721
2007-10-01,-1.0658869528516466,-0.6717568958759843,0.3461489434743561,0.49790026853219366
2007-11-01,-0.9360774561884934,-0.6396411561041231,0.362280103827572,0.5005088611760674
2007-12-01,-0.6553616730275642,-0.4040727008608751,0.39716407940909726,0.5196428479327619
2008-01-01,-0.849641188419334,-0.5517686079163457,0.37302136183688367,0.5076462861405677
2008-02-01,-0.8101800804451947,-0.2712423936062484,0.37792511292451186,0.530431955231841
2008-03-01,-0.7349966242626973,-0.4089141276763887,0.3872680070791358,0.5192496042937701
2008-04-01,-0.7253303534278073,-0.27180906535514054,0.3884692147631918,0.5303859274658249
2008-05-01,-0.7810777749624455,0.13034785012499886,0.3815415968371543,0.563051018753045
2008-06-01,-0.9881596172378327,0.31573085400289413,0.35580796031707806,0.5781087052223693
2008-07-01,-0.8893593713596013,0.4006041012382799,0.36808566456959985,0.5850025127439351
2008-08-01,-0.7833069202881993,0.03707238493360483,0.3812645855119069,0.5554747432544697
2008-09-01,-0.686853597915344,-0.06370173910249362,0.39325064238596147,0.5472893911336472
2008-10-01,0.33543336915928196,0.6409309490234144,0.5202881505559198,0.6045229987022549
2008-11-01,0.7952681547586692,0.5254884786432872,0.5774308778075222,0.5951462139492515
2008-12-01,1.9259635029585258,0.9446241752720002,0.7179400735235892,0.6291904023371685
2009-01-01,2.6556019871281284,1.1832735545447783,0.8086107539481452,0.6485746363500949
2009-02-01,2.163699454437533,1.2266559458293185,0.7474830334272369,0.6520983598446307
2009-03-01,2.4420213934575297,1.0286135890806014,0.7820695308989888,0.6360124207175873
2009-04-01,4.193693750445599,1.0468958464622864,0.9997462679885243,0.637497392337673
2009-05-01,2.118044128979556,0.647234834397722,0.7418095396161332,0.6050350301588571
2009-06-01,1.4574347108939385,0.9572952724574808,0.6597169598903497,0.6302196089238035
2009-07-01,0.9489799329979627,1.1094626330100512,0.5965323257500427,0.6425793633680373
2009-08-01,0.7399157706686409,1.0129841319934072,0.5705523503758502,0.634742922114254
2009-09-01,0.7889511334051793,1.0729137038062742,0.5766458744986175,0.6396106860609068
2009-10-01,0.8338161681996962,1.3019406552250328,0.5822211605071672,0.6582133408639346
2009-11-01,0.6169594913903085,1.3860426763988216,0.5552728253144409,0.6650445057484216
2009-12-01,0.5398307164742804,1.03533061000655,0.5456881903840236,0.636558009002355
2010-01-01,0.457900841557404,3.2499068743954957,0.5355069325872033,0.8164363924249278
2010-02-01,0.31284181500519215,4.174251169497016,0.5174807443795162,0.89151601835716765
2010-03-01,0.0029567093023706303,3.4604244034736102,0.4789719568126325,0.8335356241929222
2010-04-01,-0.23312990242388093,3.0904114457038983,0.44963395698288205,0.8034814175443264
2010-05-01,-0.17808137249042658,3.0903139180542256,0.45647472508068654,0.8034734958862448
2010-06-01,-0.16464044100265796,3.596289838711408,0.4581450021151042,0.8445712589762303
2010-07-01,0.03813053691014495,3.376616516769661,0.483342936347741,0.8267283503045568
2010-08-01,-0.41110893345893645,2.7901071451219805,0.42751686722490745,0.7790892785188381
2010-09-01,-0.6743141951160475,2.3288344337075677,0.39480888829622723,0.7416225220199077
2010-10-01,-0.5918075804229856,2.0251737806343595,0.4050618163641054,0.7169577641327266
2010-11-01,-0.5614978265802281,1.4699418426559225,0.4088283474120823,0.671859193794847
2010-12-01,-0.24468888844844386,1.3507992354440952,0.4481975454577172,0.6621818663861532
2011-01-01,0.41148531293097046,2.2067204786080477,0.5297389698849427,0.7317038476487187
2011-02-01,-0.07141259588479905,2.6595840766055208,0.4697302355351475,0.7684875760886115
2011-03-01,-0.1867902000943333,2.234466631165442,0.45539249690649003,0.7339575217029727
2011-04-01,-0.5649560856495894,1.8719983304024537,0.4083985966386424,0.7045161278654191
2011-05-01,-0.6259468105115579,1.5149390584065845,0.4008194041442727,0.6755140809883478
2011-06-01,-0.6694516675473304,1.4515165776028927,0.39541314464071065,0.6703626064137004
2011-07-01,-0.7647523422415085,1.3671024113742418,0.3835703249335311,0.6635060876279887
2011-08-01,-0.8146276917182735,1.1661183618224829,0.3773724173785074,0.6471812102650192
2011-09-01,-0.7783513010405204,1.1939727274463625,0.38188041016872093,0.6494436738975675
2011-10-01,-0.7928795818680391,0.9233657883271111,0.3800750104583022,0.6274636953642329
2011-11-01,-0.37373025237666396,1.0809907148243127,0.43216183938664765,0.6402667391886196
2011-12-01,-0.739680634225405,0.7054543774482338,0.3866859347520196,0.6097638974622446
2012-01-01,-0.7570938685673622,0.31099276916361307,0.3845220277755744,0.5777238555086278
2012-02-01,-0.9480243278343021,0.2160010525402128,0.36079549055048704,0.5700081779320567
2012-03-01,-0.8109576602574746,0.16270228596445546,0.3778284846734074,0.5656789994231786
2012-04-01,-0.8161913784857007,-0.10167919050303512,0.3771781012257145,0.5442046824811214
2012-05-01,-1.0169138274810523,-0.1787332861081269,0.3522347334870944,0.5379459835252935
2012-06-01,-0.9902392379005858,-0.010394674319391941,0.35554953011553603,0.5516192436622673
2012-07-01,-0.7889555861871504,-0.28917476998380687,0.3805626373668172,0.5289754026056841
2012-08-01,-0.7647482760734404,0.14658989914172157,0.38357083022791105,0.5643702749771716
2012-09-01,-0.7416395445224252,0.059607924026989584,0.3864425049804614,0.55730518657984
2012-10-01,-0.7889848336023946,-0.02846398168847585,0.38055900285041167,0.5501515688517937
2012-11-01,-0.8781588745292842,-0.05728371918498061,0.36947752737663603,0.5478106931389564
2012-12-01,-0.8428693738094252,-0.14703813546250757,0.37386288137253176,0.5405204139263355
2013-01-01,-0.787288046827007,-0.18728236292783912,0.38076985906865907,0.5372515869751212
2013-02-01,-0.6202351141519103,-0.26755913535039294,0.4015291849556523,0.5307311269295806
2013-03-01,-0.6569256070530793,-0.4767707090263569,0.396969732530048,0.513737971050838
2013-04-01,-0.8821572297124273,-0.5154708131066348,0.36898065996503393,0.5105945651215928
2013-05-01,-0.759897631388296,-0.14770600679580476,0.3841736099107842,0.5404661662502904
2013-06-01,-0.8438326044433299,-0.2259599807201122,0.37374318267396145,0.5341100074887946
2013-07-01,-0.9905279849131939,0.9673845209109001,0.3555136481155158,0.6310391055159655
