"","lower","mean","upper","PIB","PIBO","AE"
"2020/12",-5.48028945019907,-4.85524701465432,-3.7539817710755,-4.480017829,-4.6,0.375229185654324
"2021/03",-4.37138326476074,-3.41061259582729,-1.39899900774788,-2.770190686,-2.9,0.640421909827289
"2021/06",20.0608499018178,20.0970882757235,20.242041771346,19.45556653,19.6,0.64152174572348
"2021/09",5.46131385212767,6.26615363135772,6.39492799603454,4.684202888,4.8,1.58195074335772
"2021/12",-0.832707588300607,0.127176819124486,1.14898925283507,1.12499817,1,0.997821350875514
"2022/03",0.684472084933191,1.63728978377297,2.40569115380509,1.834084033,1.6,0.196794249227029
"2022/06",0.821293250421391,1.88725116009022,2.67910560727276,1.852244507,1.9,0.0350066530902158
"2022/09",2.05964124272393,2.88883170709551,4.14797278262272,4.317241728,4.3,1.42841002090449
"2022/12",2.95253187441264,3.84110329341551,4.63775353114224,3.66157912,3.6,0.179524173415515
"2023/03",3.05321096702711,3.84015300104758,4.38495902460024,3.666961722,3.8,0.173191279047582
"2023/06",NA,NA,NA,3.6,3.6,NA
"2023/09",2.53236506000782,3.26143317088822,3.9573618221832,3.291824907,3.3,0.0303917361117754
"2023/12",2.29613137121081,3.05348142948878,3.54740538053962,2.513767676,2.4,0.539713753488784
"2024/03",0.955666755555711,1.67589780528363,2.49434217997444,1.933910644,2,0.258012838716374
"2024/06",0.281438780113092,1.02390700888877,1.83093769234064,0.95016632,1.1,0.0737406888887701
"2024/09",0.459957586971171,1.19680993296438,1.86958816191472,1.576986987,1.5,0.380177054035615
"2024/12",-0.271418194893144,0.462239498799065,1.03640638951468,0.53372681,0.6,0.0714873112009354
