"","lower","mean","upper","PIB","PIBO","AE"
"2020/09",12.3321309961698,12.3321309961698,12.3321309961698,12.11818304,12,0.213947956169809
"2020/12",3.19799274222561,3.19799274222561,3.19799274222561,3.257435281,3.1,0.0594425387743915
"2021/03",1.05925403762843,1.05925403762843,1.05925403762843,0.762320643,0.4,0.296933394628435
"2021/06",1.73032439569927,1.73032439569927,1.73032439569927,1.474270245,1.5,0.25605415069927
"2021/09",-1.42013323147758,-1.42013323147758,-1.42013323147758,-0.433415993,-0.2,0.986717238477578
"2021/12",-0.0588552927672623,-0.0588552927672623,-0.0588552927672623,0.020623217,-0.1,0.0794785097672623
"2022/03",1.21285574714148,1.21285574714148,1.21285574714148,1.008903301,0.9,0.203952446141475
"2022/06",1.08024888684903,1.08024888684903,1.08024888684903,0.92437563,1,0.155873256849034
"2022/09",0.845768189054525,0.845768189054525,0.845768189054525,0.890356892,1,0.0445887029454755
"2022/12",0.39406781359645,0.39406781359645,0.39406781359645,0.455300092,0.4,0.0612322784035496
"2023/03",0.693474855769452,0.693474855769452,0.693474855769452,1.020610932,1.1,0.327136076230548
"2023/06",0.947064499935664,0.947064499935664,0.947064499935664,0.8,0.9,0.147064499935664
"2023/09",1.3804591242492,1.3804591242492,1.3804591242492,1.070124378,0.9,0.310334746249199
"2023/12",0.0456517318350365,0.0456517318350365,0.0456517318350365,0.082718882,0.1,0.0370671501649635
"2024/03",0.208870428686708,0.208870428686708,0.208870428686708,0.279951297,0.2,0.0710808683132915
"2024/06",0.322561635529951,0.322561635529951,0.322561635529951,0.155891107,0.2,0.166670528529951
"2024/09",0.936070182117902,0.936070182117902,0.936070182117902,1.076084243,1,0.140014060882098
"2024/12",-0.969228866528823,-0.969228866528823,-0.969228866528823,-0.631823458,-0.6,0.337405408528823
