"","lower","mean","upper","PIB","PIBO","AE"
"2020/09",-8.93056067045724,-8.42777073940883,-7.95455668665741,-8.625736774,-8.6,0.197966034591172
"2020/12",-4.5523138043101,-4.19447521309631,-3.8366366218825,-4.480017829,-4.6,0.285542615903689
"2021/03",-2.9589383467714,-2.47835134815148,-1.96772766211782,-2.770190686,-2.9,0.291839337848522
"2021/06",20.0902792779663,20.5251104622049,20.9961775784635,19.45556653,19.6,1.06954393220494
"2021/09",4.31006236964716,4.69649667776113,5.11513384488458,4.684202888,4.8,0.0122937897611326
"2021/12",0.0926895369008633,0.464252738106907,0.835815939312951,1.12499817,1,0.660745431893093
"2022/03",1.29812937857068,1.6670547254043,2.0359800722379,1.834084033,1.6,0.167029307595701
"2022/06",1.40269490774121,1.79868844218176,2.19468197662229,1.852244507,1.9,0.0535560648182436
"2022/09",3.47422941517553,3.90444572082929,4.30393229036493,4.317241728,4.3,0.412796007170713
"2022/12",3.25672177116583,3.59367605691361,3.96126255045665,3.66157912,3.6,0.0679030630863915
"2023/03",3.22013460826831,3.58344967433611,3.94676474040388,3.666961722,3.8,0.0835120476638913
"2023/06",NA,NA,NA,3.6,3.6,NA
"2023/09",3.02551497555741,3.35695283356796,3.65524690577743,3.291824907,3.3,0.0651279265679592
"2023/12",2.44157366742202,2.73786390369288,3.03415413996375,2.513767676,2.4,0.224096227692883
"2024/03",1.68444134227957,2.01208251527612,2.33972368827267,1.933910644,2,0.0781718712761199
"2024/06",0.952477170631781,1.27532934822167,1.59818152581157,0.95016632,1.1,0.325163028221675
"2024/09",0.789553651017087,1.10984872395483,1.43014379689259,1.576986987,1.5,0.467138263045174
"2024/12",0.1206592227621,0.439624376300713,0.758589529839341,0.53372681,0.6,0.0941024336992865
