"date","IGAE","GA1","GA2","GA3"
"1981/01","9.124655050428","5.059244915424","9.989982949489","8.742509699847"
"1981/02","11.805371957054","10.023633540254","14.575556662321","9.90565915793"
"1981/03","9.882178857568","6.27411839053","13.056266405605","7.670823368965"
"1981/04","7.692580211146","9.856593008426","7.79198001785","7.430822633393"
"1982/01","3.446230516873","6.91748882208","4.070462649586","2.685186731107"
"1982/02","0.766722200299","2.396554189881","0.286359210957","1.099559994952"
"1982/03","-0.377540987278","-5.441209721254","-2.449781826971","1.724582845886"
"1982/04","-3.821404256915","-12.336287656185","-6.402268519135","-1.366367462108"
"1983/01","-4.616339161488","-4.146364214349","-10.630584360036","0.22376561176"
"1983/02","-6.417466526699","-4.366257977242","-12.786154609736","-1.875314103709"
"1983/03","-5.537452155845","4.269817972865","-10.869791372752","-2.114882079627"
"1983/04","-1.894830695466","13.675536010731","-5.518758445123","-0.419930939724"
"1984/01","2.662643804","1.850152396203","0.932491979326","3.568449535663"
"1984/02","3.283930394359","4.310867981075","4.610050146133","2.680999135958"
"1984/03","4.813443306655","2.407949851946","6.405318897042","3.833359253715"
"1984/04","3.278109649897","-1.803058769765","6.113448331104","1.78178700444"
"1985/01","2.078440627669","-0.794298876514","5.668855579779","-0.061357451983"
"1985/02","2.748721369946","7.866622120143","4.186876010499","1.408790347265"
"1985/03","1.39004165901","0.231122002371","3.059534684902","0.224116588481"
"1985/04","1.32190934133","5.121633549995","1.367895505883","1.020533474927"
"1986/01","-2.294376883874","6.249115794182","-3.239605480974","-2.031975227548"
"1986/02","-2.967118079402","-4.584502523199","-5.587156424879","-1.124475288402"
"1986/03","-5.00705031576","1.157317494541","-9.025527658801","-2.422217466156"
"1986/04","-5.433350936695","-7.001860625188","-10.228482252987","-2.025365684029"
"1987/01","-2.489819946123","-1.25536469319","-5.557001720624","-0.558744293538"
"1987/02","1.478718639899","0.989436891117","2.44143710109","0.997742086785"
"1987/03","3.971935877303","1.113291994096","7.340162869027","1.779953443253"
"1987/04","5.551494692051","3.749669516747","10.114736680898","2.886846704009"
"1988/01","3.776306738187","-3.177941521976","7.182333650722","2.450491098389"
"1988/02","0.642337023222","-3.464920449037","0.447456735169","0.727362452589"
