date ,SP_500
1991/01,
1991/02,
1991/03,
1991/04,
1991/05,
1991/06,
1991/07,
1991/08,
1991/09,
1991/10,
1991/11,
1991/12,
1992/01,
1992/02,
1992/03,
1992/04,
1992/05,
1992/06,
1992/07,
1992/08,
1992/09,
1992/10,
1992/11,
1992/12,
1993/01,438.779999
1993/02,443.380005
1993/03,451.670013
1993/04,440.190002
1993/05,450.190002
1993/06,450.529999
1993/07,448.130005
1993/08,463.559998
1993/09,458.929993
1993/10,467.829987
1993/11,461.790009
1993/12,466.450012
1994/01,481.609985
1994/02,467.140015
1994/03,445.769989
1994/04,450.910004
1994/05,456.5
1994/06,444.269989
1994/07,458.26001
1994/08,475.48999
1994/09,462.709991
1994/10,472.350006
1994/11,453.690002
1994/12,459.269989
1995/01,470.420013
1995/02,487.390015
1995/03,500.709991
1995/04,514.710022
1995/05,533.400024
1995/06,544.75
1995/07,562.059998
1995/08,561.880005
1995/09,584.409973
1995/10,581.5
1995/11,605.369995
1995/12,615.929993
1996/01,636.02002
1996/02,640.429993
1996/03,645.5
1996/04,654.169983
1996/05,669.119995
1996/06,670.630005
1996/07,639.950012
1996/08,651.98999
1996/09,687.330017
1996/10,705.27002
1996/11,757.02002
1996/12,740.73999
1997/01,786.159973
1997/02,790.820007
1997/03,757.119995
1997/04,801.340027
1997/05,848.280029
1997/06,885.140015
1997/07,954.309998
1997/08,899.469971
1997/09,947.280029
1997/10,914.619995
1997/11,955.400024
1997/12,970.429993
1998/01,980.280029
1998/02,1049.339966
1998/03,1101.75
1998/04,1111.75
1998/05,1090.819946
1998/06,1133.839966
1998/07,1120.670044
1998/08,957.280029
1998/09,1017.01001
1998/10,1098.670044
1998/11,1163.630005
1998/12,1229.22998
1999/01,1279.640015
1999/02,1238.329956
1999/03,1286.369995
1999/04,1335.180054
1999/05,1301.839966
1999/06,1372.709961
1999/07,1328.719971
1999/08,1320.410034
1999/09,1282.709961
1999/10,1362.930054
1999/11,1388.910034
1999/12,1469.25
2000/01,1394.459961
2000/02,1366.420044
2000/03,1498.579956
2000/04,1452.430054
2000/05,1420.599976
2000/06,1454.599976
2000/07,1430.829956
2000/08,1517.680054
2000/09,1436.51001
2000/10,1429.400024
2000/11,1314.949951
2000/12,1320.280029
2001/01,1366.01001
2001/02,1239.939941
2001/03,1160.329956
2001/04,1249.459961
2001/05,1255.819946
2001/06,1224.380005
2001/07,1211.22998
2001/08,1133.579956
2001/09,1040.939941
2001/10,1059.780029
2001/11,1139.449951
2001/12,1148.079956
2002/01,1130.199951
2002/02,1106.72998
2002/03,1147.390015
2002/04,1076.920044
2002/05,1067.140015
2002/06,989.820007
2002/07,911.619995
2002/08,916.070007
2002/09,815.280029
2002/10,885.76001
2002/11,936.309998
2002/12,879.820007
2003/01,855.700012
2003/02,841.150024
2003/03,848.179993
2003/04,916.919983
2003/05,963.590027
2003/06,974.5
2003/07,990.309998
2003/08,1008.01001
2003/09,995.969971
2003/10,1050.709961
2003/11,1058.199951
2003/12,1111.920044
2004/01,1131.130005
2004/02,1144.939941
2004/03,1126.209961
2004/04,1107.300049
2004/05,1120.680054
2004/06,1140.839966
2004/07,1101.719971
2004/08,1104.23999
2004/09,1114.579956
2004/10,1130.199951
2004/11,1173.819946
2004/12,1211.920044
2005/01,1181.27002
2005/02,1203.599976
2005/03,1180.589966
2005/04,1156.849976
2005/05,1191.5
2005/06,1191.329956
2005/07,1234.180054
2005/08,1220.329956
2005/09,1228.810059
2005/10,1207.01001
2005/11,1249.47998
2005/12,1248.290039
2006/01,1280.079956
2006/02,1280.660034
2006/03,1294.869995
2006/04,1310.609985
2006/05,1270.089966
2006/06,1270.199951
2006/07,1276.660034
2006/08,1303.819946
2006/09,1335.849976
2006/10,1377.939941
2006/11,1400.630005
2006/12,1418.300049
2007/01,1438.23999
2007/02,1406.819946
2007/03,1420.859985
2007/04,1482.369995
2007/05,1530.619995
2007/06,1503.349976
2007/07,1455.27002
2007/08,1473.98999
