Periodo,IGAE,IOAE,Inferior,Superior
2020/09,-7,-6.9,-8.8,-4.9
2020/10,-4.9,-6.2,-7.8,-4.6
2020/11,-3.5,-5,-6.1,-3.6
2020/12,-3.7,-5.4,-6.4,-4.4
2021/01,-4.2,-4.4,-5.4,-3.5
2021/02,-4,-4,-5.5,-2.5
2021/03,0.4,-2.1,-3.6,-0.6
2021/04,21.4,20.6,18.6,22.4
2021/05,25.3,24.8,23.3,26.2
2021/06,13.4,14.7,13.4,16.1
2021/07,7.7,9.9,8.6,11.2
2021/08,3.8,6.8,5.4,8.1
2021/09,1.3,5,3.7,6.2
2021/10,0.3,1.9,0.7,3.1
2021/11,0.3,1.2,-0.6,2.9
2021/12,1.1,-0.2,-2,1.5
2022/01,1.8,0.7,-1,2.5
2022/02,2.7,2.8,1.1,4.6
2022/03,-0.3,0.4,-1.4,2.2
2022/04,2,1.8,0,3.7
2022/05,1.3,1,-0.9,3
2022/06,1.8,2.1,0.2,4.1
2022/07,2.2,1.5,-0.5,3.4
2022/08,4.7,2.9,0.8,4.9
2022/09,5.1,3.3,2,4.6
2022/10,4.8,5,3.6,6.4
2022/11,3.5,4.2,2.9,5.5
2022/12,3.1,2.7,1.3,4
2023/01,3.6,2.8,1.9,3.8
2023/02,3.9,3.5,2.4,4.7
2023/03,2.7,3.8,2.7,5
2023/04,3.3,2.6,1.7,3.5
2023/05,3.2,2.5,1.3,3.7
2023/06,4,4,2.8,5.2
2023/07,3.5,3.4,2.5,4.3
2023/08,3.5,3.4,2.2,4.5
2023/09,3.7,3,1.8,4.1
2023/10,3.5,2.9,2,3.7
2023/11,2.7,3.1,2,4.2
2023/12,2.1,2.6,1.3,3.9
2024/01,1.1,2.3,1.4,3.1
2024/02,2.6,2.4,1.2,3.6
2024/03,3.3,2.1,0.9,3.2
2024/04,0.9,1.7,0.9,2.6
2024/05,1.6,2,0.8,3.2
2024/06,1.1,0.9,-0.3,2.1
2024/07,2,1.1,0.2,2
2024/08,1,1.1,-0.2,2.4
2024/09,0.8,0.5,-0.7,1.7
2024/10,-0.3,0.4,-0.5,1.3
2024/11,0.9,1,-0.2,2.2
2024/12,-0.6,1.1,0.0,2.3
