Periodo,IGAE,IOAE,Inferior,Superior
2020/09,104.8,104.9,102.7,107.2
2020/10,106.8,105.2,103.4,107
2020/11,107.7,106.5,105.2,108
2020/12,107.5,105.8,104.7,107
2021/01,107.5,107.1,106,108.2
2021/02,106.7,106.7,105,108.3
2021/03,109.9,107.5,105.9,109.2
2021/04,109.9,109.9,108.1,111.6
2021/05,111,110.8,109.6,112.1
2021/06,109.7,110.9,109.6,112.2
2021/07,110,111.9,110.6,113.2
2021/08,107.7,110.6,109.2,111.9
2021/09,107.5,110.1,108.8,111.4
2021/10,107.4,108.6,107.4,109.9
2021/11,107.9,109,107.1,110.9
2021/12,109.2,108,106.1,109.8
2022/01,109.8,108.8,107,110.7
2022/02,109.8,110.1,108.2,112
2022/03,110.2,110.9,108.9,112.9
2022/04,111.6,111.5,109.5,113.5
2022/05,111.4,111.2,109.1,113.3
2022/06,111,111.2,109.1,113.4
2022/07,111.6,111.1,109,113.2
2022/08,113,111.5,109.2,113.7
2022/09,113.1,111.7,110.3,113.1
2022/10,113.2,113.3,111.8,114.7
2022/11,112.5,113.2,111.8,114.6
2022/12,113.1,112.6,111.2,114.1
2023/01,113.8,113.1,112,114.1
2023/02,114.1,113.9,112.6,115.2
2023/03,113.6,114.7,113.4,116
2023/04,115,114.5,113.5,115.5
2023/05,115,114.3,113,115.6
2023/08,104,103.9,102.8,105.1
2023/09,104.7,104.1,103,105.3
2023/10,104.6,104.1,103.2,105
2023/11,103.9,105.2,104,106.5
2023/12,103.9,104.2,103,105.5
2024/01,103,103.9,103,104.8
2024/02,104.3,104.2,103,105.4
2024/03,105.2,103.8,102.7,105
2024/04,103.9,104.2,103.3,105.1
2024/05,104.8,105.2,104,106.5
2024/06,104.7,104.5,103.3,105.7
2024/07,105.6,104.7,103.8,105.7
2024/08,105.2,105.1,103.8,106.5
2024/09,105.8,105.1,103.9,106.4
2024/10,104.7,104.9,104,105.9
2024/11,105.2,105.3,104,106.5
2024/12,103.8,105.3,104.1,106.5
