Periodos,pib_sa,pib_sa_vt,pib_sa_va
2022/03,24386675.8,0.837621071,4.657125576
2022/04,24671751.93,1.168983142,4.655235639
2023/01,24798271.59,0.512811813,3.751784749
2023/02,24983767.69,0.748020299,3.306564624
2023/03,25181151.9,0.790049782,3.257828584
2023/04,25202781.04,0.085894175,2.152376978
2024/01,25255205.13,0.208009145,1.842602368
2024/02,25227221.05,-0.110805193,0.974446123
2024/03,25524270.9,1.177497315,1.362602494
2024/04,25275173.02,-0.975925561,0.287238051
2025/01,25360618.49,0.338060879,0.417392609
2025/02,25489305.99,0.50743047,1.038897402
2025/03,25506365.19,0.06692687,-0.070151707
2025/04,25726611.61,0.863495916,1.786094971
